UMAP1	UMAP2	driving_feats	labels	nSBM_labels	residuals	residuals_sign	observed	predicted	scaled_E25	scaled_E2	scaled_E1	scaled_telomere	scaled_ampl	scaled_del	shap_E25	shap_E2	shap_E1	shap_telomere	shap_ampl	shap_del	GC_scaled	GC_shap	bin	start	end	chr	good_residual
-3.0996106	6.9276376	distance.to.telomere	1	13	0.05488549796083313	0	0.074217951569346	0.01933245360851288	0.21841470821642722	0.209500262931665	-0.588995714741491	-1.2782292480622586	-0.7927182228788934	1.177476106663371	-0.0057940558	-0.029779568	0.0033773147	-0.06081831	0.0026972834	0.020085594	0.0006445040393729142	-0.011211368	1_8	7007043	8008048	1	True
-3.7220979	6.689463	distance.to.telomere	1	43	0.0385413342192355	0	-0.0646337470934209	-0.1031750813126564	-1.7177015329622607	0.2896405744993869	0.3272757929672549	-1.2403027826917097	-0.7202712974167973	1.2244463873611424	-0.03337596	-0.032701068	-0.018934812	-0.052084778	0.004466635	0.023603689	0.6080584340703258	0.0018945271	1_9	8008049	9009054	1	False
-3.0057538	7.289367	9_92	1	10	-0.032417000738396935	0	0.0138080776655528	0.04622507840394974	-1.7224527384620856	1.5518504816910068	1.677570646432775	-1.2023763173211608	-0.7746064915133695	1.1539909663144856	-0.027370574	-0.027985668	-0.020416526	-0.027976727	-0.000764337	0.024164911	1.2734426653903967	-0.0044829627	1_10	9009055	10010060	1	False
-3.75658	6.789162	Length_Counts.E2	1	43	0.08903669801493441	0	0.134994755060871	0.045958057045936584	-1.3706259712000444	1.3114295469878412	1.629345830237578	-1.1265233865800632	-0.8410161731869574	1.2087896271285516	-0.02872611	-0.031030906	-0.022995261	-0.02044533	0.0019046401	0.022201963	1.5991392159830469	0.0019861509	1_12	11011067	12012072	1	True
-3.6377673	6.8764453	Centromere_Length	1	43	0.04512723607412028	0	0.177848853891999	0.13272161781787872	0.47775134174854184	-0.49172746328590167	-0.20319718517991378	-1.0127439904684168	-0.9376120738030856	1.2401031475937325	-0.009604056	-0.026513904	-0.00217329	-0.023185315	0.00039991163	0.016831966	0.06321376303561602	-0.0053555053	1_15	14014085	15015090	1	True
-3.1367228	7.21841	Centromere_Length	1	10	0.1820048693827575	0	0.162350856166262	-0.019654013216495514	-1.1178420419197717	0.7504473660137878	1.0024232197000151	-0.9748175250978679	-0.8349789293984493	1.4279842703848173	-0.029351166	-0.029837292	-0.021166336	-0.005039275	-0.0024788738	0.020998161	0.9173896021416444	-0.0031902795	1_16	15015091	16016096	1	True
-2.990578	7.178058	Centromere_Length	1	10	-0.07500541134243839	0	-0.0895174072912895	-0.014511995948851109	-1.8864806845849502	-0.11106098333922262	0.18260134438166345	-0.8231116636156726	-0.8410161731869574	1.3262153288729799	-0.03151453	-0.027371882	-0.01405838	0.0085553145	0.0015479838	0.016679086	1.5334954823498015	-0.00013700905	1_20	19019115	20020120	1	True
-3.7701714	6.6414886	Centromere_Length	1	43	0.09302491814285418	0	0.116317791197597	0.023292873054742813	-0.44991905750609174	0.6102018207702745	0.3272757929672549	-0.7851851982451238	-0.8591279045524814	1.2087896271285516	-0.034328237	-0.033110056	-0.016336553	0.0126481	0.002755802	0.018659614	1.589108385080607	0.0013157661	1_21	20020121	21021126	1	True
-3.5942397	6.991478	Centromere_Length	1	43	0.110315797808301	0	0.112102224449348	0.0017864266410470009	-1.1780190290784927	2.7138849994229743	1.2435473006760007	-0.6334793367629284	-0.7806437353018774	1.1148490657330092	-0.033100985	-0.03194	-0.021923454	0.008613337	0.0048025176	0.020534	0.7919435105445404	-0.00050186756	1_25	24024145	25025150	1	True
-3.6367385	6.8848166	Centromere_Length	1	43	0.11380953072782285	0	0.150840547971685	0.03703101724386215	-0.720720448892732	0.6502719765541354	1.2435473006760007	-0.5955528713923797	-0.8410161731869574	1.0287368844537625	-0.03767038	-0.03408364	-0.024208106	0.010105755	0.0051009334	0.008556843	0.7192870927193393	0.0013511534	1_26	25025151	26026156	1	True
-3.0987253	7.2557974	9_92	1	10	0.1077698378168028	0	0.168219370981304	0.06044953316450119	-1.229242963373481	3.014411167801932	2.738516602727113	-0.5576264060218308	-0.8410161731869574	1.1853044867796665	-0.031915724	-0.025185611	-0.022082815	0.007163802	0.005996361	0.022653412	1.4433005214116543	0.0023333798	1_27	26026157	27027162	1	True
-3.1470828	7.2518682	9_92	1	10	-0.03379562581298202	0	0.0131461798179403	0.04694180563092232	-1.990584051341272	2.7940253109906963	1.2435473006760007	-0.519699940651282	-0.8349789293984493	1.2009612470122566	-0.029518316	-0.02638479	-0.023434136	0.009501057	0.003409345	0.026905267	1.723023212491888	-0.00028695172	1_28	27027163	28028168	1	False
-3.5488496	7.0316095	Length_Counts.E25	1	43	-0.006431351422848654	0	-0.00960441400069232	-0.003173062577843666	-1.157024639776141	0.7905175217976488	-0.25142200137511095	-0.36799407916908666	-0.5753774464926051	1.0052517441048767	-0.03724254	-0.02887828	-0.007680658	0.008168023	-0.0015888703	0.0010854974	1.0898261055551375	0.0031516966	1_32	31031187	32032192	1	True
-3.6301196	6.829751	Length_Counts.E25	1	43	0.0334933345705078	0	0.0175386948078678	-0.01595463976264	-1.1505659697998163	-0.010885593879570245	0.4237254253576492	-0.21628821768689133	-0.521042252396033	0.39463809503385155	-0.04012552	-0.030269094	-0.026541099	0.008588654	0.00021859497	0.001381969	0.9985570780611883	0.0010627523	1_36	35035211	36036216	1	True
-3.7280087	6.735728	Length_Counts.E25	1	43	-0.04605064912581436	0	-0.102199256409645	-0.05614860728383064	-1.8780126506159913	1.391569858555563	1.918694727408761	-0.17836175231634252	-0.40029737662587284	0.44943675584791803	-0.03734373	-0.027045855	-0.02612821	0.0051229214	-0.005377406	-0.003953333	1.2689022931317797	-0.0023173331	1_37	36036217	37037222	1	True
