UMAP1	UMAP2	driving_feats	labels	nSBM_labels	residuals	residuals_sign	observed	predicted	scaled_E25	scaled_E2	scaled_E1	scaled_telomere	scaled_ampl	scaled_del	shap_E25	shap_E2	shap_E1	shap_telomere	shap_ampl	shap_del	GC_scaled	GC_shap	bin	start	end	chr	good_residual
8.197705	1.678057	Length_Counts.E25	3	53	0.08365428072890257	0	0.421244528121557	0.3375902473926544	1.1161945807875264	-0.5117625411778322	-0.926569428107871	1.0732116049117688	-0.551228471338573	0.2145853523590621	0.10844628	-0.026094953	0.056230575	0.023776803	-0.017984353	0.025416637		0.028488893	1_70	69069415	70070420	1	True
8.2291155	1.6720252	Length_Counts.E25	3	53	0.05698967153131512	0	0.358871312680836	0.3018816411495209	1.1280725945370889	-0.3715169959343188	-0.15497236898471664	1.1869910010234153	-0.557265715127081	0.285040773405719	0.117773965	-0.038354978	-0.018547494	0.030409705	-0.0130211925	0.021751761	-1.428957610217507	0.07386303	1_73	72072433	73073438	1	True
8.06643	2.1934063	Length_Counts.E25	3	53	-0.26169104754802364	-1	-0.194703182874886	0.06698786467313766	1.115204746308396	-0.7922536316648587	-0.8301197957174767	1.5283291893583548	-0.5693402027040971	0.38680971491755645	0.1196511	-0.004785171	0.06067619	0.026628505	-0.02660992	0.00047322898		0.009104741	1_82	81081487	82082492	1	True
8.398723	1.8823545	Length_Counts.E25	3	53	0.25663048037049707	1	0.593279868445372	0.3366493880748749	1.2073286412810447	-0.8122887095567892	-0.926569428107871	1.8498148296640784	-0.7866809790903855	-0.4038566768282582	0.09783826	0.047937594	0.05227001	0.028900065	-0.007885443	-0.015537509	-1.4447756813120636	0.06516864	2_156	155127101	156127920	2	True
-2.233929	3.2837422	distance.to.telomere	3	59	-0.5484299308697209	-1	-0.780147219363831	-0.2317172884941101	1.1949210660851475	-0.7722185537729283	-0.926569428107871	-1.429845920369282	-0.3459621825293007	-0.4195134370608486	0.078936346	-0.00029857748	0.08504598	-0.11032668	0.009108575	-0.037586473	-0.8981734468224035	-0.030508459	3_3	2000227	3000339	3	True
8.155243	2.1461039	Length_Counts.E25	3	53	0.266807920037069	1	0.785545176564016	0.518737256526947	1.163741279992546	-0.6920782422052064	-0.926569428107871	-0.17938909491820745	-0.6900850784742573	0.12064479096351996	0.13877237	0.00052981393	0.066306986	0.017221639	-0.0036908244	0.016835453	-1.1372020766956954	0.01540249	3_36	35003956	36004068	3	True
8.219385	2.145381	Length_Counts.E25	3	53	-0.09214077704149459	0	0.243189262221277	0.3353300392627716	1.1439198445479635	-0.631973008529415	-0.7818949795222796	1.6773498277212666	-0.508967764819017	0.01104746933538718	0.1255972	-0.039198577	0.070174135	0.0314669	-0.02780734	0.022649035		0.020460805	3_85	84009493	85009605	3	False
8.172835	2.166116	Length_Counts.E25	3	53	0.3930830691483721	1	0.951727542701076	0.5586444735527039	1.1330564111395094	-0.5718677748536235	-0.926569428107871	1.8668129830926414	-0.3459621825293007	-0.27860259496753503	0.122246765	-0.03525892	0.07290337	0.031641472	0.0167863	0.019746054	-1.4904723311407808	0.078903325	3_90	89010058	90010170	3	True
8.10253	1.7968833	Length_Counts.E25	3	53	0.34666500507987186	1	0.773954848639137	0.42728984355926514	1.1850227212938453	-0.49172746328590167	-0.926569428107871	-0.18967021227184425	0.3422836093606125	-1.1553811679925967	0.11577109	-0.03462908	0.07106879	0.019917069	0.02416345	0.0054569347	-0.8234769999869991	-0.012990516	3_165	164018533	165018645	3	True
8.327274	1.9548109	Length_Counts.E25	3	53	0.017722250790465577	0	0.151861028642524	0.1341387778520584	1.1374809712612215	-0.49172746328590167	-0.926569428107871	0.28256453290968353	-0.6961223222627653	0.09715965061463425	0.113465816	-0.03265311	0.05540623	0.035954274	-0.011273613	0.018026378	-1.4043517218481973	0.048896722	4_47	46037123	47037929	4	True
